tanggal,kategori,region,harga_satuan,unit_terjual,diskon_persen,pendapatan_kotor,pendapatan_bersih
2025-03-04,Olahraga,Batam,420589.0,9,0.02,3785299.0,3709593.0
2025-03-05,Fashion,Jakarta,256130.0,11,0.28,2817427.0,2028548.0
2025-03-06,Fashion,Bandung,247605.0,9,0.23,2228445.0,1715903.0
2025-03-07,Makanan,Medan,95679.0,6,0.18,574072.0,470739.0
2025-03-08,Elektronik,Jakarta,1393412.0,6,0.25,8360474.0,6270355.0
2025-03-09,Olahraga,Medan,505777.0,13,0.02,6575106.0,6443604.0
2025-03-10,Elektronik,Medan,1352784.0,8,0.14,10822275.0,9307157.0
2025-03-11,Buku,Bandung,128712.0,14,0.19,1801970.0,1459596.0
2025-03-12,Olahraga,Surabaya,496841.0,7,0.25,3477887.0,2608415.0
2025-03-13,Elektronik,Batam,1557383.0,8,0.24,12459066.0,9468890.0
2025-03-14,Elektronik,Batam,1482946.0,13,0.08,19278294.0,17736031.0
2025-03-15,Olahraga,Bandung,434131.0,9,0.28,3907182.0,2813171.0
2025-03-16,Olahraga,Medan,422796.0,13,0.04,5496352.0,5276498.0
2025-03-17,Olahraga,Jakarta,527315.0,4,0.26,2109261.0,1560853.0
2025-03-18,Olahraga,Medan,509511.0,10,0.29,5095115.0,3617532.0
2025-03-19,Elektronik,Bandung,1779016.0,7,0.05,12453113.0,11830457.0
2025-03-20,Fashion,Batam,254916.0,7,0.22,1784410.0,1391840.0
2025-03-21,Elektronik,Medan,1638520.0,9,0.01,14746684.0,14599218.0
2025-03-22,Buku,Batam,141040.0,9,0.12,1269363.0,1117040.0
2025-03-23,Makanan,Jakarta,69799.0,7,0.15,488596.0,415307.0
2025-03-24,Fashion,Batam,247980.0,6,0.17,1487877.0,1234938.0
2025-03-25,Elektronik,Batam,1644672.0,10,0.28,16446724.0,11841641.0
2025-03-26,Fashion,Surabaya,308937.0,12,0.2,3707241.0,2965793.0
2025-03-27,Fashion,Surabaya,341019.0,8,0.14,2728156.0,2346214.0
2025-03-28,Olahraga,Surabaya,385159.0,10,0.24,3851590.0,2927209.0
2025-03-29,Makanan,Batam,89449.0,5,0.29,447243.0,317542.0
2025-03-30,Buku,Bandung,105678.0,5,0.01,528391.0,523107.0
2025-03-31,Fashion,Batam,259639.0,7,0.29,1817471.0,1290404.0
2025-04-01,Elektronik,Bandung,1298559.0,5,0.03,6492797.0,6298013.0
2025-04-02,Olahraga,Bandung,506623.0,11,0.24,5572858.0,4235372.0
2025-04-03,Olahraga,Surabaya,479735.0,11,0.08,5277090.0,4854923.0
2025-04-04,Makanan,Medan,80738.0,10,0.04,807381.0,775086.0
2025-04-05,Olahraga,Jakarta,424589.0,16,0.13,6793432.0,5910286.0
2025-04-06,Fashion,Surabaya,345264.0,8,0.19,2762113.0,2237311.0
2025-04-07,Makanan,Surabaya,76558.0,14,0.11,1071815.0,953916.0
2025-04-08,Fashion,Medan,337992.0,6,0.02,2027952.0,1987393.0
2025-04-09,Elektronik,Jakarta,1463481.0,11,0.18,16098290.0,13200598.0
2025-04-10,Elektronik,Batam,1426167.0,8,0.27,11409333.0,8328813.0
2025-04-11,Elektronik,Batam,1477608.0,12,0.11,17731294.0,15780852.0
2025-04-12,Makanan,Surabaya,73644.0,8,0.06,589153.0,553804.0
2025-04-13,Fashion,Jakarta,329713.0,11,0.13,3626844.0,3155355.0
2025-04-14,Makanan,Surabaya,80087.0,10,0.01,800871.0,792862.0
2025-04-15,Buku,Bandung,107146.0,13,0.25,1392901.0,1044676.0
2025-04-16,Elektronik,Surabaya,1739745.0,6,0.25,10438468.0,7828851.0
2025-04-17,Fashion,Surabaya,286067.0,7,0.18,2002469.0,1642024.0
2025-04-18,Olahraga,Batam,457840.0,9,0.11,4120556.0,3667295.0
2025-04-19,Elektronik,Batam,1743883.0,12,0.24,20926599.0,15904215.0
2025-04-20,Elektronik,Batam,1574543.0,6,0.17,9447257.0,7841223.0
2025-04-21,Fashion,Bandung,254028.0,7,0.25,1778194.0,1333646.0
2025-04-22,Elektronik,Batam,1763899.0,8,0.19,14111194.0,11430067.0
2025-04-23,Buku,Jakarta,126130.0,11,0.24,1387430.0,1054447.0
2025-04-24,Olahraga,Medan,420283.0,8,0.18,3362264.0,2757057.0
2025-04-25,Makanan,Jakarta,68457.0,9,0.12,616110.0,542177.0
2025-04-26,Buku,Jakarta,134113.0,10,0.29,1341132.0,952204.0
2025-04-27,Olahraga,Batam,471613.0,8,0.16,3772905.0,3169240.0
2025-04-28,Elektronik,Medan,1520077.0,8,0.18,12160613.0,9971703.0
2025-04-29,Buku,Medan,138907.0,9,0.07,1250162.0,1162650.0
2025-04-30,Makanan,Medan,89235.0,12,0.19,1070821.0,867365.0
2025-05-01,Olahraga,Bandung,387301.0,13,0.17,5034919.0,4178983.0
2025-05-02,Buku,Batam,110963.0,9,0.06,998664.0,938744.0
2025-05-03,Fashion,Medan,269819.0,12,0.02,3237824.0,3173068.0
2025-05-04,Elektronik,Bandung,1646368.0,6,0.18,9878207.0,8100129.0
2025-05-05,Elektronik,Surabaya,1220119.0,11,0.23,13421314.0,10334412.0
2025-05-06,Fashion,Surabaya,308387.0,10,0.16,3083868.0,2590449.0
2025-05-07,Olahraga,Bandung,497243.0,10,0.07,4972426.0,4624356.0
2025-05-08,Buku,Bandung,138085.0,8,0.2,1104678.0,883742.0
2025-05-09,Elektronik,Batam,1405249.0,10,0.02,14052490.0,13771441.0
2025-05-10,Makanan,Batam,90280.0,13,0.13,1173643.0,1021069.0
2025-05-11,Fashion,Surabaya,253276.0,8,0.05,2026206.0,1924896.0
2025-05-12,Elektronik,Medan,1707871.0,11,0.06,18786585.0,17659390.0
2025-05-13,Elektronik,Surabaya,1276493.0,8,0.06,10211946.0,9599229.0
2025-05-14,Fashion,Medan,287674.0,5,0.12,1438372.0,1265768.0
2025-05-15,Buku,Medan,134270.0,10,0.02,1342702.0,1315848.0
2025-05-16,Fashion,Batam,257990.0,5,0.12,1289950.0,1135156.0
2025-05-17,Makanan,Jakarta,71336.0,8,0.15,570688.0,485085.0
2025-05-18,Olahraga,Jakarta,490005.0,16,0.14,7840087.0,6742475.0
2025-05-19,Fashion,Bandung,326404.0,11,0.11,3590448.0,3195499.0
2025-05-20,Buku,Batam,126775.0,6,0.25,760651.0,570488.0
2025-05-21,Buku,Medan,129310.0,8,0.04,1034476.0,993097.0
2025-05-22,Fashion,Jakarta,305127.0,4,0.15,1220508.0,1037432.0
2025-05-23,Fashion,Medan,270216.0,4,0.02,1080864.0,1059246.0
2025-05-24,Fashion,Jakarta,281484.0,9,0.02,2533352.0,2482685.0
2025-05-25,Fashion,Jakarta,261792.0,10,0.17,2617917.0,2172871.0
2025-05-26,Elektronik,Jakarta,1745070.0,9,0.17,15705633.0,13035675.0
2025-05-27,Makanan,Batam,82669.0,5,0.26,413343.0,305874.0
2025-05-28,Makanan,Surabaya,76827.0,7,0.17,537791.0,446366.0
2025-05-29,Elektronik,Medan,1477203.0,8,0.29,11817628.0,8390516.0
2025-05-30,Fashion,Batam,353674.0,8,0.01,2829392.0,2801098.0
2025-05-31,Buku,Batam,103361.0,5,0.03,516804.0,501300.0
2025-06-01,Elektronik,Batam,1551738.0,6,0.01,9310427.0,9217323.0
2025-06-02,Elektronik,Batam,1503533.0,14,0.06,21049465.0,19786497.0
2025-06-03,Fashion,Batam,313375.0,12,0.16,3760494.0,3158815.0
2025-06-04,Buku,Bandung,96869.0,5,0.19,484346.0,392321.0
2025-06-05,Elektronik,Medan,1723274.0,9,0.01,15509469.0,15354374.0
2025-06-06,Makanan,Batam,93828.0,7,0.28,656794.0,472892.0
2025-06-07,Olahraga,Medan,461724.0,5,0.25,2308620.0,1731465.0
2025-06-08,Elektronik,Bandung,1617990.0,6,0.09,9707943.0,8834228.0
2025-06-09,Olahraga,Bandung,526050.0,13,0.02,6838649.0,6701876.0
2025-06-10,Fashion,Medan,324869.0,10,0.05,3248686.0,3086252.0
2025-06-11,Makanan,Jakarta,68881.0,8,0.04,551050.0,529008.0
2025-06-12,Makanan,Surabaya,82441.0,12,0.04,989295.0,949723.0
2025-06-13,Makanan,Jakarta,83415.0,11,0.16,917564.0,770754.0
2025-06-14,Elektronik,Jakarta,1454478.0,12,0.07,17453741.0,16231979.0
2025-06-15,Olahraga,Jakarta,492560.0,14,0.11,6895839.0,6137297.0
2025-06-16,Fashion,Batam,352124.0,10,0.3,3521240.0,2464868.0
2025-06-17,Elektronik,Bandung,1755341.0,8,0.21,14042729.0,11093756.0
2025-06-18,Elektronik,Jakarta,1470504.0,6,0.28,8823022.0,6352576.0
2025-06-19,Makanan,Bandung,67624.0,9,0.04,608613.0,584268.0
2025-06-20,Makanan,Medan,95515.0,10,0.11,955149.0,850083.0
2025-06-21,Elektronik,Surabaya,1703339.0,7,0.17,11923372.0,9896399.0
2025-06-22,Makanan,Medan,67989.0,8,0.02,543914.0,533035.0
2025-06-23,Elektronik,Medan,1752505.0,8,0.0,14020041.0,14020041.0
2025-06-24,Makanan,Batam,91837.0,11,0.2,1010204.0,808163.0
2025-06-25,Elektronik,Surabaya,1511303.0,11,0.19,16624331.0,13465708.0
2025-06-26,Makanan,Medan,82921.0,7,0.12,580446.0,510792.0
2025-06-27,Fashion,Medan,287880.0,5,0.15,1439402.0,1223491.0
2025-06-28,Buku,Surabaya,98629.0,5,0.12,493143.0,433966.0
2025-06-29,Elektronik,Surabaya,1401118.0,5,0.01,7005592.0,6935536.0
2025-06-30,Fashion,Medan,336342.0,10,0.1,3363424.0,3027082.0
2025-07-01,Elektronik,Surabaya,1202779.0,8,0.05,9622234.0,9141122.0
2025-07-02,Buku,Medan,112008.0,12,0.03,1344096.0,1303773.0
2025-07-03,Buku,Medan,115112.0,9,0.29,1036009.0,735566.0
2025-07-04,Fashion,Batam,304487.0,13,0.18,3958337.0,3245836.0
2025-07-05,Makanan,Jakarta,93435.0,11,0.22,1027789.0,801676.0
2025-07-06,Olahraga,Medan,422342.0,5,0.09,2111711.0,1921657.0
2025-07-07,Makanan,Bandung,75103.0,4,0.12,300410.0,264361.0
2025-07-08,Makanan,Jakarta,87600.0,6,0.07,525600.0,488808.0
2025-07-09,Elektronik,Jakarta,1471331.0,11,0.03,16184638.0,15699099.0
2025-07-10,Elektronik,Jakarta,1334763.0,6,0.05,8008577.0,7608148.0
2025-07-11,Buku,Batam,117717.0,5,0.24,588585.0,447325.0
2025-07-12,Buku,Medan,102761.0,11,0.2,1130373.0,904298.0
2025-07-13,Makanan,Batam,69644.0,7,0.16,487511.0,409509.0
2025-07-14,Fashion,Medan,299804.0,11,0.14,3297845.0,2836147.0
2025-07-15,Fashion,Batam,290271.0,12,0.28,3483253.0,2507942.0
2025-07-16,Olahraga,Batam,524672.0,6,0.02,3148034.0,3085073.0
2025-07-17,Buku,Bandung,113395.0,9,0.08,1020554.0,938910.0
2025-07-18,Buku,Batam,123868.0,7,0.1,867078.0,780370.0
2025-07-19,Olahraga,Surabaya,473808.0,10,0.23,4738076.0,3648318.0
2025-07-20,Makanan,Bandung,64419.0,12,0.3,773028.0,541120.0
2025-07-21,Elektronik,Batam,1598122.0,14,0.07,22373714.0,20807554.0
2025-07-22,Elektronik,Jakarta,1306822.0,5,0.26,6534108.0,4835240.0
2025-07-23,Buku,Surabaya,142131.0,9,0.25,1279182.0,959387.0
2025-07-24,Makanan,Surabaya,68757.0,6,0.07,412543.0,383665.0
2025-07-25,Elektronik,Surabaya,1448774.0,12,0.12,17385294.0,15299058.0
2025-07-26,Elektronik,Bandung,1251210.0,9,0.12,11260888.0,9909582.0
2025-07-27,Makanan,Batam,95900.0,4,0.29,383600.0,272356.0
2025-07-28,Elektronik,Batam,1501317.0,11,0.05,16514487.0,15688763.0
2025-07-29,Elektronik,Jakarta,1557231.0,13,0.24,20244003.0,15385442.0
2025-07-30,Makanan,Jakarta,66146.0,8,0.1,529172.0,476254.0
2025-07-31,Makanan,Surabaya,87999.0,9,0.22,791989.0,617751.0
2025-08-01,Makanan,Jakarta,70717.0,3,0.13,212151.0,184571.0
2025-08-02,Elektronik,Bandung,1738833.0,7,0.17,12171828.0,10102617.0
2025-08-03,Olahraga,Batam,396925.0,3,0.25,1190775.0,893082.0
2025-08-04,Elektronik,Surabaya,1314413.0,12,0.24,15772952.0,11987443.0
2025-08-05,Fashion,Jakarta,244386.0,12,0.26,2932632.0,2170147.0
2025-08-06,Olahraga,Bandung,444972.0,9,0.02,4004748.0,3924653.0
2025-08-07,Makanan,Bandung,82075.0,15,0.21,1231124.0,972588.0
2025-08-08,Olahraga,Jakarta,371828.0,14,0.04,5205586.0,4997362.0
2025-08-09,Makanan,Batam,88817.0,3,0.12,266451.0,234477.0
2025-08-10,Makanan,Jakarta,78505.0,13,0.16,1020568.0,857277.0
2025-08-11,Elektronik,Surabaya,1514634.0,8,0.12,12117073.0,10663024.0
2025-08-12,Fashion,Jakarta,292892.0,10,0.16,2928915.0,2460289.0
2025-08-13,Fashion,Bandung,288092.0,7,0.3,2016641.0,1411649.0
2025-08-14,Elektronik,Jakarta,1535784.0,9,0.04,13822058.0,13269175.0
2025-08-15,Buku,Batam,103452.0,10,0.2,1034515.0,827612.0
2025-08-16,Fashion,Medan,261831.0,8,0.12,2094651.0,1843293.0
2025-08-17,Buku,Jakarta,137366.0,9,0.04,1236291.0,1186840.0
2025-08-18,Makanan,Batam,94276.0,7,0.05,659930.0,626933.0
2025-08-19,Olahraga,Batam,427196.0,8,0.28,3417565.0,2460647.0
2025-08-20,Makanan,Bandung,72664.0,11,0.26,799302.0,591484.0
2025-08-21,Makanan,Batam,84608.0,10,0.27,846080.0,617638.0
2025-08-22,Fashion,Batam,289048.0,10,0.3,2890481.0,2023337.0
2025-08-23,Elektronik,Batam,1215232.0,3,0.06,3645695.0,3426954.0
2025-08-24,Olahraga,Batam,388107.0,7,0.11,2716752.0,2417910.0
2025-08-25,Fashion,Surabaya,325917.0,10,0.2,3259167.0,2607333.0
2025-08-26,Elektronik,Surabaya,1595354.0,5,0.15,7976772.0,6780256.0
2025-08-27,Makanan,Bandung,64867.0,14,0.13,908139.0,790081.0
2025-08-28,Elektronik,Jakarta,1333183.0,9,0.11,11998650.0,10678798.0
2025-08-29,Buku,Batam,107092.0,12,0.18,1285099.0,1053781.0
2025-08-30,Buku,Jakarta,128251.0,7,0.17,897756.0,745137.0
2025-08-31,Buku,Jakarta,96946.0,9,0.05,872515.0,828889.0
2025-09-01,Fashion,Bandung,252493.0,8,0.14,2019944.0,1737152.0
2025-09-02,Elektronik,Batam,1679950.0,12,0.17,20159396.0,16732299.0
2025-09-03,Buku,Batam,104570.0,9,0.17,941131.0,781139.0
2025-09-04,Fashion,Medan,318330.0,12,0.06,3819954.0,3590757.0
2025-09-05,Buku,Jakarta,107433.0,3,0.22,322298.0,251393.0
2025-09-06,Buku,Jakarta,100773.0,6,0.01,604639.0,598593.0
2025-09-07,Buku,Surabaya,107672.0,6,0.11,646034.0,574970.0
2025-09-08,Fashion,Medan,326672.0,7,0.23,2286704.0,1760762.0
2025-09-09,Fashion,Surabaya,342684.0,13,0.17,4454886.0,3697556.0
2025-09-10,Buku,Surabaya,135851.0,6,0.08,815103.0,749895.0
2025-09-11,Fashion,Surabaya,287662.0,8,0.21,2301296.0,1818024.0
2025-09-12,Elektronik,Bandung,1600851.0,8,0.17,12806809.0,10629651.0
2025-09-13,Makanan,Bandung,70559.0,14,0.24,987833.0,750753.0
2025-09-14,Buku,Surabaya,110071.0,10,0.22,1100711.0,858555.0
2025-09-15,Makanan,Medan,92683.0,9,0.18,834145.0,683999.0
2025-09-16,Makanan,Jakarta,64416.0,9,0.15,579745.0,492783.0
2025-09-17,Elektronik,Medan,1251305.0,5,0.04,6256526.0,6006265.0
2025-09-18,Makanan,Batam,70652.0,11,0.08,777176.0,715002.0
2025-09-19,Buku,Bandung,97274.0,14,0.13,1361830.0,1184792.0
2025-09-20,Elektronik,Jakarta,1308861.0,7,0.18,9162029.0,7512864.0
2025-09-21,Makanan,Jakarta,82657.0,10,0.15,826573.0,702587.0
2025-09-22,Buku,Batam,116228.0,10,0.09,1162284.0,1057678.0
2025-09-23,Olahraga,Batam,520681.0,10,0.0,5206809.0,5206809.0
2025-09-24,Makanan,Surabaya,90158.0,4,0.15,360633.0,306538.0
2025-09-25,Olahraga,Bandung,421527.0,9,0.09,3793744.0,3452307.0
2025-09-26,Fashion,Bandung,271131.0,10,0.22,2711308.0,2114820.0
2025-09-27,Fashion,Medan,285563.0,8,0.01,2284505.0,2261660.0
2025-09-28,Olahraga,Surabaya,466253.0,7,0.18,3263772.0,2676293.0
2025-09-29,Olahraga,Surabaya,408251.0,5,0.28,2041257.0,1469705.0
2025-09-30,Buku,Surabaya,125959.0,17,0.05,2141306.0,2034240.0
2025-10-01,Buku,Surabaya,115652.0,12,0.14,1387821.0,1193526.0
2025-10-02,Makanan,Bandung,81666.0,10,0.03,816655.0,792155.0
2025-10-03,Makanan,Bandung,77956.0,8,0.19,623648.0,505155.0
2025-10-04,Olahraga,Surabaya,413004.0,14,0.17,5782054.0,4799105.0
2025-10-05,Makanan,Medan,94351.0,5,0.12,471753.0,415142.0
2025-10-06,Olahraga,Jakarta,497449.0,11,0.16,5471939.0,4596429.0
2025-10-07,Olahraga,Jakarta,385220.0,9,0.27,3466983.0,2530898.0
2025-10-08,Buku,Medan,137686.0,9,0.06,1239178.0,1164827.0
2025-10-09,Fashion,Surabaya,298492.0,6,0.01,1790950.0,1773041.0
2025-10-10,Fashion,Bandung,347346.0,10,0.26,3473463.0,2570362.0
2025-10-11,Elektronik,Jakarta,1679913.0,6,0.17,10079479.0,8365968.0
2025-10-12,Makanan,Batam,77607.0,7,0.27,543248.0,396571.0
2025-10-13,Elektronik,Batam,1213482.0,9,0.18,10921334.0,8955494.0
2025-10-14,Fashion,Medan,272241.0,6,0.24,1633448.0,1241420.0
2025-10-15,Makanan,Surabaya,81332.0,14,0.13,1138652.0,990627.0
2025-10-16,Fashion,Jakarta,316017.0,12,0.22,3792209.0,2957923.0
2025-10-17,Makanan,Surabaya,72252.0,10,0.27,722524.0,527443.0
2025-10-18,Elektronik,Jakarta,1283614.0,7,0.17,8985296.0,7457795.0
2025-10-19,Elektronik,Medan,1700958.0,10,0.05,17009581.0,16159102.0
2025-10-20,Olahraga,Medan,537192.0,10,0.08,5371924.0,4942170.0
2025-10-21,Fashion,Batam,303083.0,4,0.06,1212331.0,1139591.0
2025-10-22,Elektronik,Surabaya,1303008.0,8,0.07,10424061.0,9694376.0
2025-10-23,Makanan,Batam,72714.0,9,0.09,654425.0,595526.0
2025-10-24,Olahraga,Surabaya,363310.0,9,0.17,3269793.0,2713928.0
2025-10-25,Elektronik,Batam,1748579.0,8,0.18,13988634.0,11470680.0
2025-10-26,Makanan,Bandung,67768.0,7,0.13,474376.0,412707.0
2025-10-27,Elektronik,Bandung,1545910.0,6,0.18,9275459.0,7605877.0
2025-10-28,Elektronik,Bandung,1364433.0,11,0.02,15008764.0,14708589.0
2025-10-29,Makanan,Bandung,81734.0,6,0.03,490402.0,475690.0
2025-10-30,Makanan,Jakarta,84845.0,9,0.05,763609.0,725429.0
2025-10-31,Makanan,Bandung,90552.0,9,0.16,814966.0,684571.0
2025-11-01,Olahraga,Medan,397156.0,9,0.06,3574402.0,3359938.0
2025-11-02,Buku,Medan,96528.0,7,0.08,675695.0,621639.0
2025-11-03,Makanan,Jakarta,68380.0,9,0.12,615423.0,541572.0
2025-11-04,Fashion,Bandung,348002.0,8,0.24,2784018.0,2115854.0
2025-11-05,Olahraga,Bandung,517300.0,11,0.0,5690302.0,5690302.0
2025-11-06,Fashion,Bandung,311690.0,8,0.19,2493517.0,2019748.0
2025-11-07,Fashion,Batam,312062.0,9,0.2,2808558.0,2246847.0
2025-11-08,Elektronik,Surabaya,1599022.0,10,0.24,15990220.0,12152567.0
2025-11-09,Elektronik,Batam,1305223.0,9,0.28,11747005.0,8457844.0
2025-11-10,Buku,Surabaya,139892.0,7,0.01,979242.0,969450.0
2025-11-11,Olahraga,Bandung,435379.0,10,0.05,4353787.0,4136098.0
2025-11-12,Makanan,Bandung,76260.0,8,0.27,610083.0,445361.0
2025-11-13,Fashion,Batam,302270.0,9,0.14,2720431.0,2339571.0
2025-11-14,Elektronik,Batam,1228180.0,12,0.17,14738155.0,12232669.0
2025-11-15,Elektronik,Surabaya,1299770.0,8,0.2,10398160.0,8318528.0
2025-11-16,Fashion,Medan,328564.0,10,0.2,3285640.0,2628512.0
2025-11-17,Makanan,Surabaya,66650.0,9,0.28,599846.0,431889.0
2025-11-18,Olahraga,Batam,468567.0,7,0.3,3279972.0,2295980.0
2025-11-19,Makanan,Batam,71851.0,7,0.22,502958.0,392307.0
2025-11-20,Fashion,Jakarta,286715.0,15,0.09,4300732.0,3913666.0
2025-11-21,Buku,Batam,109857.0,13,0.26,1428145.0,1056827.0
2025-11-22,Olahraga,Jakarta,424021.0,6,0.01,2544127.0,2518685.0
2025-11-23,Makanan,Medan,87009.0,13,0.07,1131123.0,1051944.0
2025-11-24,Makanan,Surabaya,73508.0,9,0.27,661571.0,482947.0
2025-11-25,Fashion,Surabaya,307969.0,8,0.08,2463748.0,2266649.0
2025-11-26,Elektronik,Jakarta,1485630.0,5,0.07,7428151.0,6908181.0
2025-11-27,Fashion,Surabaya,319641.0,6,0.04,1917843.0,1841130.0
2025-11-28,Olahraga,Batam,528629.0,6,0.26,3171776.0,2347114.0
2025-11-29,Elektronik,Bandung,1639543.0,5,0.15,8197716.0,6968059.0
2025-11-30,Elektronik,Jakarta,1328964.0,8,0.2,10631714.0,8505371.0
2025-12-01,Elektronik,Surabaya,1218710.0,10,0.07,12187099.0,11334002.0
2025-12-02,Elektronik,Jakarta,1357358.0,8,0.23,10858867.0,8361328.0
2025-12-03,Buku,Jakarta,124564.0,7,0.23,871946.0,671399.0
2025-12-04,Olahraga,Bandung,369257.0,8,0.09,2954053.0,2688188.0
2025-12-05,Fashion,Batam,299564.0,5,0.12,1497820.0,1318081.0
2025-12-06,Elektronik,Jakarta,1558106.0,10,0.06,15581057.0,14646194.0
2025-12-07,Fashion,Surabaya,280109.0,11,0.29,3081202.0,2187653.0
2025-12-08,Fashion,Medan,332509.0,12,0.19,3990114.0,3231992.0
2025-12-09,Elektronik,Jakarta,1263959.0,12,0.28,15167507.0,10920605.0
2025-12-10,Fashion,Jakarta,249017.0,9,0.09,2241149.0,2039445.0
2025-12-11,Fashion,Bandung,327383.0,11,0.23,3601209.0,2772931.0
2025-12-12,Makanan,Batam,79856.0,10,0.23,798557.0,614889.0
2025-12-13,Makanan,Medan,86029.0,9,0.21,774260.0,611665.0
